gene,log2FoldChange,stat,pvalue,padj,xiao
SEC22C,0.157364058401544,2.38966447909379,0.0168637708947764,0.0502782299526109,0.526000788066023
SEC23A,0.00923439159825381,0.209936722839883,0.833717060158757,0.903632281981173,0.998322031914831
SEC23B,0.0771980741688718,0.592792248944706,0.553320195674434,0.697392437117262,0.955340704961727
SEC23IP,0.0893672196371458,1.60806748058675,0.107820400443542,0.218728169181722,0.819511726809425
SEC24A,0.296451205062066,4.59790716880491,4.26756052932184e-6,3.94620807982472e-5,0.0255923577508077
SEC24B,-0.0204185584368229,-0.449767392743012,0.652878171728275,0.777946519098337,0.991332032100777
SEC24C,-0.0340797221237565,-0.815581376293928,0.414739604686439,0.576711387895637,0.970451633906399
SEC24D,0.273857239093536,2.51929965264038,0.0117588537677674,0.0375516793346525,0.296179832773081
SEC31A,0.0582927459982222,1.59588879569787,0.110513623485128,0.222495153852377,0.87950453122021
SEC31B,-0.0707963086367505,-1.01566167443434,0.309790524550272,0.471598467951736,0.920384936697211
SEC61A1,0.28648935722709,4.58130192767867,4.62090136522173e-6,4.23327270295346e-5,0.0296142665617875
SEC61A2,-0.0016462141124463,-0.0137613580010605,0.989020371460845,0.994491333556414,0.999981825385954
SEC61B,0.221019748129037,1.99543058366941,0.0459959380754459,0.113003863820087,0.506331091689888
SEC61G,0.158000247101783,1.62651134739758,0.103840921407093,0.212244759467227,0.699175151467665
SEC62,0.151808081379843,3.06418842475999,0.00218261394003327,0.00929494808309483,0.394489267646026
SEC63,-0.00173318498637493,-0.0326438527798851,0.973958598988432,0.986897853934412,0.999954268390557
SECISBP2,-0.12185929643986,-2.71306203209633,0.00666646259521526,0.0235362077058264,0.543027007936101
SECISBP2L,0.028677123179346,0.686765402431539,0.49223057517965,0.646556368855938,0.979878617187713
SEH1L,0.343712618922477,4.74571929539081,2.07766677755597e-6,2.06942801239623e-5,0.0111398445142934
SEL1L,-0.0482515841787562,-1.32899357848342,0.183850088458767,0.324669432705849,0.92152944228526
SEL1L3,0.150417189589838,1.02238414075144,0.306599123646287,0.468171294128567,0.837088622418655
SELENBP1,-0.25442361205206,-3.80818877104895,1.3998839310988e-4,8.6182693886499e-4,0.104586303450566
SELK,0.143145351544012,2.31240046242605,0.0207556249090372,0.059662704560622,0.574256360861082
SELL,1.33694637455243,3.71754233938356,2.0117028005243e-4,0.00118618194275548,1.14304427040708e-5
SELM,0.173351716075025,1.16961438718574,0.242156184890698,0.39551597666896,0.782045298348645
SELO,-0.051102055204194,-0.899383653851904,0.368448342900282,0.531660106242678,0.950256728635532
SELP,0.65077054235033,2.07731261073385,0.0377727159054779,0.0967256886433431,0.11859585038538
SELPLG,0.462422904832762,1.65483316718067,0.0979583440974625,0.203249997970572,0.341534397157514
